Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	ShiftX(mm)	ShiftY(mm)	ShiftZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 18:06:39.619	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.819	101.600	21.100	37.780	24.62	-0.42947	-0.3537	-0.8093	0.18811	
 18:06:39.635	f9:a2:89:42:44:2c	2015-01-01 02:11:42.745	0.746	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.800	0.420	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.650	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.56	-0.427	0.183	-0.061							-1.494	67.126	132.819	101.600	21.100	37.780	24.62	-0.42947	-0.3537	-0.8093	0.18811	
 18:06:39.695	f9:a2:89:42:44:2c	2015-01-01 02:11:42.745	0.747	-0.657	-0.041	0	0	0.061							0	-0.005	-101.475	-42.900	19.800	0.420	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.724	f9:a2:89:42:44:2c	2015-01-01 02:11:42.745	0.747	-0.657	-0.041	0.061	0	0.061							0	-0.005	-101.475	-42.900	19.800	0.420	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.739	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.56	-0.366	0.183	-0.122							-1.494	67.126	132.819	101.600	21.100	37.780	24.62	-0.42947	-0.3537	-0.8093	0.18811	
 18:06:39.754	f9:a2:89:42:44:2c	2015-01-01 02:11:42.745	0.747	-0.656	-0.041	0	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.770	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.56	-0.366	0.183	-0.061							-1.494	67.126	132.819	101.600	21.100	37.780	24.62	-0.42947	-0.3537	-0.8093	0.18811	
 18:06:39.844	f9:a2:89:42:44:2c	2015-01-01 02:11:42.745	0.747	-0.657	-0.042	0	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.858	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.828	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18811	
 18:06:39.860	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.559	-0.427	0.183	0							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18811	
 18:06:39.874	f9:a2:89:42:44:2c	2015-01-01 02:11:42.745	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.934	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.747	-0.657	-0.042	0.061	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.964	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.746	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.980	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.559	-0.427	0.183	0							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:39.980	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.660	-0.827	0	-0.56	-0.427	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:40.009	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.828	-0.001	-0.56	-0.427	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:40.054	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.747	-0.658	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.068	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.828	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:40.084	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.116	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	21.300	-1.333	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.174	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.746	-0.657	-0.041	0.061	0	0.061							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.190	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.827	0	-0.559	-0.366	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
