Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	ShiftX(mm)	ShiftY(mm)	ShiftZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 18:06:40.190	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:40.220	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.828	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.819	99.900	23.300	38.953	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:40.235	f9:a2:89:42:44:2c	2015-01-01 02:11:43.105	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.280	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.828	0	-0.56	-0.427	0.183	0							-1.494	67.126	132.819	102.200	21.900	39.000	24.62	-0.42947	-0.3537	-0.8093	0.18808	
 18:06:40.294	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.325	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.748	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.340	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.050	-0.828	0	-0.56	-0.366	0.244	0							-1.494	67.126	132.825	102.200	21.900	39.000	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.354	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.746	-0.657	-0.041	0	0	0							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.400	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.827	0	-0.56	-0.427	0.183	-0.061							-1.494	67.126	132.825	102.200	21.900	39.000	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.429	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.827	0	-0.559	-0.427	0.183	-0.122							-1.494	67.126	132.825	102.200	21.900	39.000	24.62	-0.42947	-0.35367	-0.8093	0.18808	
