Time (seconds),Time (steps),Acceleration (rad/s²)
0,0,1.43
0.0072,1,1.414
0.0144,2,1.405
0.0216,3,1.398
0.0288,4,1.39
0.036,5,1.385
0.043199999999999995,6,1.371
0.05039999999999999,7,1.365
0.05759999999999999,8,1.352
0.0648,9,1.346
0.072,10,1.333
0.07919999999999999,11,1.327
0.08639999999999999,12,1.314
0.09359999999999999,13,1.309
0.10079999999999999,14,1.293
0.10799999999999998,15,1.287
0.11519999999999998,16,1.278
0.12239999999999998,17,1.262
0.1296,18,1.252
0.1368,19,1.244
0.14400000000000002,20,1.232
0.15120000000000003,21,1.22
0.15840000000000004,22,1.208
0.16560000000000005,23,1.194
0.17280000000000006,24,1.179
0.18000000000000008,25,1.169
0.1872000000000001,26,1.151
0.1944000000000001,27,1.138
0.2016000000000001,28,1.124
0.20880000000000012,29,1.111
0.21600000000000014,30,1.096
0.22320000000000015,31,1.076
0.23040000000000016,32,1.063
0.23760000000000017,33,1.044
0.24480000000000018,34,1.029
0.25200000000000017,35,1.007
0.25920000000000015,36,0.99
0.26640000000000014,37,0.969
0.2736000000000001,38,0.949
0.2808000000000001,39,0.928
0.2880000000000001,40,0.91
0.2952000000000001,41,0.883
0.30240000000000006,42,0.863
0.30960000000000004,43,0.837
0.3168,44,0.815
0.324,45,0.788
0.3312,46,0.76
0.3384,47,0.732
0.34559999999999996,48,0.703
0.35279999999999995,49,0.673
0.35999999999999993,50,0.643
0.3671999999999999,51,0.609
0.3743999999999999,52,0.575
0.3815999999999999,53,0.54
0.38879999999999987,54,0.502
0.39599999999999985,55,0.465
0.40319999999999984,56,0.425
0.4103999999999998,57,0.383
0.4175999999999998,58,0.34
0.4247999999999998,59,0.296
0.4319999999999998,60,0.249
0.43919999999999976,61,0.2
0.44639999999999974,62,0.149
0.4535999999999997,63,0.097
0.4607999999999997,64,0.042
0.4679999999999997,65,-0.016
0.4751999999999997,66,-0.077
0.48239999999999966,67,-0.138
0.48959999999999965,68,-0.203
0.49679999999999963,69,-0.274
0.5039999999999997,70,-0.344
0.5111999999999997,71,-0.415
0.5183999999999996,72,-0.497
0.5255999999999996,73,-0.578
0.5327999999999996,74,-0.66
0.5399999999999996,75,-0.748
0.5471999999999996,76,-0.842
0.5543999999999996,77,-0.935
0.5615999999999995,78,-1.037
0.5687999999999995,79,-1.145
0.5759999999999995,80,-1.253
0.5831999999999995,81,-1.364
0.5903999999999995,82,-1.49
0.5975999999999995,83,-1.614
0.6047999999999994,84,-1.745
0.6119999999999994,85,-1.887
0.6191999999999994,86,-2.024
0.6263999999999994,87,-2.181
0.6335999999999994,88,-2.334
0.6407999999999994,89,-2.511
0.6479999999999994,90,-2.68
0.6551999999999993,91,-2.863
0.6623999999999993,92,-3.054
0.6695999999999993,93,-3.257
0.6767999999999993,94,-3.469
0.6839999999999993,95,-3.688
0.6911999999999993,96,-3.925
0.6983999999999992,97,-4.163
0.7055999999999992,98,-4.429
0.7127999999999992,99,-4.686
0.7199999999999992,100,-4.967
0.7271999999999992,101,-5.273
0.7343999999999992,102,-5.582
0.7415999999999991,103,-5.903
0.7487999999999991,104,-6.242
0.7559999999999991,105,-6.594
0.7631999999999991,106,-6.963
0.7703999999999991,107,-7.348
0.7775999999999991,108,-7.737
0.784799999999999,109,-8.152
0.791999999999999,110,-8.596
0.799199999999999,111,-9.026
0.806399999999999,112,-9.488
0.813599999999999,113,-9.958
0.820799999999999,114,-10.457
0.827999999999999,115,-10.968
0.8351999999999989,116,-11.464
0.8423999999999989,117,-11.979
0.8495999999999989,118,-12.517
0.8567999999999989,119,-13.025
0.8639999999999989,120,-13.54
0.8711999999999989,121,-14.064
0.8783999999999988,122,-14.556
0.8855999999999988,123,-15.045
0.8927999999999988,124,-15.49
0.8999999999999988,125,-15.931
0.9071999999999988,126,-16.327
0.9143999999999988,127,-16.691
0.9215999999999988,128,-16.987
0.9287999999999987,129,-17.182
0.9359999999999987,130,-17.343
0.9431999999999987,131,-17.421
0.9503999999999987,132,-17.411
0.9575999999999987,133,-17.305
0.9647999999999987,134,-17.125
0.9719999999999986,135,-16.805
0.9791999999999986,136,-16.4
0.9863999999999986,137,-15.908
0.9935999999999986,138,-15.291
1.0007999999999986,139,-14.604
1.0079999999999987,140,-13.788
1.0151999999999988,141,-12.909
1.0223999999999989,142,-11.947
1.029599999999999,143,-10.898
1.036799999999999,144,-9.83
1.0439999999999992,145,-8.672
1.0511999999999992,146,-7.543
1.0583999999999993,147,-6.369
1.0655999999999994,148,-5.184
1.0727999999999995,149,-4.035
1.0799999999999996,150,-2.9
1.0871999999999997,151,-1.808
1.0943999999999998,152,-0.755
1.1016,153,0.256
1.1088,154,1.195
1.116,155,2.073
1.1232000000000002,156,2.882
1.1304000000000003,157,3.637
1.1376000000000004,158,4.316
1.1448000000000005,159,4.928
1.1520000000000006,160,5.471
1.1592000000000007,161,5.949
1.1664000000000008,162,6.376
1.1736000000000009,163,6.723
