Time (seconds),Time (steps),Acceleration (rad/s²)
0,0,1.278
0.0072,1,1.256
0.0144,2,1.234
0.0216,3,1.211
0.0288,4,1.189
0.036,5,1.166
0.043199999999999995,6,1.143
0.05039999999999999,7,1.12
0.05759999999999999,8,1.096
0.0648,9,1.073
0.072,10,1.049
0.07919999999999999,11,1.026
0.08639999999999999,12,1.002
0.09359999999999999,13,0.978
0.10079999999999999,14,0.954
0.10799999999999998,15,0.93
0.11519999999999998,16,0.906
0.12239999999999998,17,0.881
0.1296,18,0.857
0.1368,19,0.833
0.14400000000000002,20,0.808
0.15120000000000003,21,0.783
0.15840000000000004,22,0.758
0.16560000000000005,23,0.734
0.17280000000000006,24,0.708
0.18000000000000008,25,0.683
0.1872000000000001,26,0.657
0.1944000000000001,27,0.631
0.2016000000000001,28,0.606
0.20880000000000012,29,0.58
0.21600000000000014,30,0.553
0.22320000000000015,31,0.527
0.23040000000000016,32,0.5
0.23760000000000017,33,0.473
0.24480000000000018,34,0.446
0.25200000000000017,35,0.419
0.25920000000000015,36,0.391
0.26640000000000014,37,0.364
0.2736000000000001,38,0.335
0.2808000000000001,39,0.306
0.2880000000000001,40,0.278
0.2952000000000001,41,0.248
0.30240000000000006,42,0.219
0.30960000000000004,43,0.188
0.3168,44,0.158
0.324,45,0.127
0.3312,46,0.096
0.3384,47,0.063
0.34559999999999996,48,0.031
0.35279999999999995,49,-0.003
0.35999999999999993,50,-0.037
0.3671999999999999,51,-0.071
0.3743999999999999,52,-0.107
0.3815999999999999,53,-0.143
0.38879999999999987,54,-0.18
0.39599999999999985,55,-0.218
0.40319999999999984,56,-0.256
0.4103999999999998,57,-0.296
0.4175999999999998,58,-0.337
0.4247999999999998,59,-0.379
0.4319999999999998,60,-0.421
0.43919999999999976,61,-0.466
0.44639999999999974,62,-0.512
0.4535999999999997,63,-0.558
0.4607999999999997,64,-0.607
0.4679999999999997,65,-0.657
0.4751999999999997,66,-0.709
0.48239999999999966,67,-0.762
0.48959999999999965,68,-0.817
0.49679999999999963,69,-0.874
0.5039999999999997,70,-0.933
0.5111999999999997,71,-0.994
0.5183999999999996,72,-1.058
0.5255999999999996,73,-1.124
0.5327999999999996,74,-1.193
0.5399999999999996,75,-1.264
0.5471999999999996,76,-1.338
0.5543999999999996,77,-1.415
0.5615999999999995,78,-1.496
0.5687999999999995,79,-1.58
0.5759999999999995,80,-1.668
0.5831999999999995,81,-1.759
0.5903999999999995,82,-1.855
0.5975999999999995,83,-1.955
0.6047999999999994,84,-2.059
0.6119999999999994,85,-2.168
0.6191999999999994,86,-2.282
0.6263999999999994,87,-2.402
0.6335999999999994,88,-2.528
0.6407999999999994,89,-2.66
0.6479999999999994,90,-2.799
0.6551999999999993,91,-2.942
0.6623999999999993,92,-3.096
0.6695999999999993,93,-3.256
0.6767999999999993,94,-3.424
0.6839999999999993,95,-3.601
0.6911999999999993,96,-3.786
0.6983999999999992,97,-3.981
0.7055999999999992,98,-4.184
0.7127999999999992,99,-4.399
0.7199999999999992,100,-4.625
0.7271999999999992,101,-4.861
0.7343999999999992,102,-5.11
0.7415999999999991,103,-5.371
0.7487999999999991,104,-5.645
0.7559999999999991,105,-5.932
0.7631999999999991,106,-6.234
0.7703999999999991,107,-6.549
0.7775999999999991,108,-6.877
0.784799999999999,109,-7.222
0.791999999999999,110,-7.581
0.799199999999999,111,-7.952
0.806399999999999,112,-8.338
0.813599999999999,113,-8.736
0.820799999999999,114,-9.152
0.827999999999999,115,-9.578
0.8351999999999989,116,-10.017
0.8423999999999989,117,-10.462
0.8495999999999989,118,-10.917
0.8567999999999989,119,-11.379
0.8639999999999989,120,-11.84
0.8711999999999989,121,-12.303
0.8783999999999988,122,-12.762
0.8855999999999988,123,-13.216
0.8927999999999988,124,-13.647
0.8999999999999988,125,-14.064
0.9071999999999988,126,-14.462
0.9143999999999988,127,-14.823
0.9215999999999988,128,-15.154
0.9287999999999987,129,-15.434
0.9359999999999987,130,-15.664
0.9431999999999987,131,-15.843
0.9503999999999987,132,-15.945
0.9575999999999987,133,-15.993
0.9647999999999987,134,-15.951
0.9719999999999986,135,-15.839
0.9791999999999986,136,-15.638
0.9863999999999986,137,-15.361
0.9935999999999986,138,-14.994
1.0007999999999986,139,-14.536
1.0079999999999987,140,-13.993
1.0151999999999988,141,-13.376
1.0223999999999989,142,-12.682
1.029599999999999,143,-11.927
1.036799999999999,144,-11.111
1.0439999999999992,145,-10.245
1.0511999999999992,146,-9.336
1.0583999999999993,147,-8.394
1.0655999999999994,148,-7.435
1.0727999999999995,149,-6.471
1.0799999999999996,150,-5.502
1.0871999999999997,151,-4.537
1.0943999999999998,152,-3.586
1.1016,153,-2.659
1.1088,154,-1.769
1.116,155,-0.915
1.1232000000000002,156,-0.099
1.1304000000000003,157,0.68
1.1376000000000004,158,1.405
1.1448000000000005,159,2.083
1.1520000000000006,160,2.712
1.1592000000000007,161,3.292
1.1664000000000008,162,3.823
1.1736000000000009,163,4.299
1.180800000000001,164,4.73
1.188000000000001,165,5.116
1.1952000000000012,166,5.46
1.2024000000000012,167,5.756
1.2096000000000013,168,6.014
1.2168000000000014,169,6.237
1.2240000000000015,170,6.421
1.2312000000000016,171,6.576
1.2384000000000017,172,6.701
1.2456000000000018,173,6.797
1.252800000000002,174,6.869
1.260000000000002,175,6.916
1.267200000000002,176,6.944
1.2744000000000022,177,6.95
1.2816000000000023,178,6.942
1.2888000000000024,179,6.916
1.2960000000000025,180,6.878
1.3032000000000026,181,6.832
1.3104000000000027,182,6.768
1.3176000000000028,183,6.702
1.3248000000000029,184,6.626
1.332000000000003,185,6.541
1.339200000000003,186,6.452
1.3464000000000031,187,6.357
1.3536000000000032,188,6.26
1.3608000000000033,189,6.16
1.3680000000000034,190,6.057
1.3752000000000035,191,5.951
1.3824000000000036,192,5.844
1.3896000000000037,193,5.737
1.3968000000000038,194,5.629
1.404000000000004,195,5.521
1.411200000000004,196,5.413
1.418400000000004,197,5.306
1.4256000000000042,198,5.2
1.4328000000000043,199,5.096
1.4400000000000044,200,4.992
1.4472000000000045,201,4.89
1.4544000000000046,202,4.791
1.4616000000000047,203,4.692
1.4688000000000048,204,4.596
1.4760000000000049,205,4.502
1.483200000000005,206,4.409
1.490400000000005,207,4.318
1.4976000000000051,208,4.23
1.5048000000000052,209,4.145
1.5120000000000053,210,4.06
1.5192000000000054,211,3.979
1.5264000000000055,212,3.9
1.5336000000000056,213,3.822
1.5408000000000057,214,3.748
1.5480000000000058,215,3.675
1.555200000000006,216,3.605
1.562400000000006,217,3.536
1.569600000000006,218,3.47
1.5768000000000062,219,3.406
1.5840000000000063,220,3.343
1.5912000000000064,221,3.283
1.5984000000000065,222,3.225
1.6056000000000066,223,3.169
1.6128000000000067,224,3.114
1.6200000000000068,225,3.062
1.6272000000000069,226,3.011
1.634400000000007,227,2.962
1.641600000000007,228,2.915
1.6488000000000071,229,2.869
1.6560000000000072,230,2.825
1.6632000000000073,231,2.783
1.6704000000000074,232,2.742
1.6776000000000075,233,2.703
1.6848000000000076,234,2.666
1.6920000000000077,235,2.63
1.6992000000000078,236,2.595
1.706400000000008,237,2.562
1.713600000000008,238,2.53
1.720800000000008,239,2.499
1.7280000000000082,240,2.47
1.7352000000000083,241,2.442
1.7424000000000084,242,2.415
1.7496000000000085,243,2.389
1.7568000000000086,244,2.365
1.7640000000000087,245,2.342
1.7712000000000088,246,2.32
1.7784000000000089,247,2.298
1.785600000000009,248,2.278
1.792800000000009,249,2.259
1.8000000000000091,250,2.241
1.8072000000000092,251,2.224
1.8144000000000093,252,2.207
1.8216000000000094,253,2.192
1.8288000000000095,254,2.177
1.8360000000000096,255,2.164
1.8432000000000097,256,2.151
1.8504000000000098,257,2.138
1.85760000000001,258,2.127
1.86480000000001,259,2.116
1.87200000000001,260,2.106
1.8792000000000102,261,2.097
1.8864000000000103,262,2.089
1.8936000000000104,263,2.08
1.9008000000000105,264,2.073
1.9080000000000106,265,2.066
1.9152000000000107,266,2.06
1.9224000000000108,267,2.054
1.9296000000000109,268,2.049
1.936800000000011,269,2.044
1.944000000000011,270,2.04
1.9512000000000111,271,2.036
1.9584000000000112,272,2.033
1.9656000000000113,273,2.03
1.9728000000000114,274,2.027
1.9800000000000115,275,2.025
1.9872000000000116,276,2.023
1.9944000000000117,277,2.022
2.001600000000012,278,2.02
2.008800000000012,279,2.019
2.016000000000012,280,2.018
2.023200000000012,281,2.017
2.030400000000012,282,2.017
2.0376000000000123,283,2.017
2.0448000000000124,284,2.016
2.0520000000000125,285,2.017
2.0592000000000126,286,2.016
2.0664000000000127,287,2.017
2.0736000000000128,288,2.017
2.080800000000013,289,2.017
2.088000000000013,290,2.017
2.095200000000013,291,2.017
2.102400000000013,292,2.017
2.1096000000000132,293,2.017
2.1168000000000133,294,2.017
2.1240000000000134,295,2.017
2.1312000000000135,296,2.017
2.1384000000000136,297,2.017
2.1456000000000137,298,2.016
2.152800000000014,299,2.015
2.160000000000014,300,2.014
2.167200000000014,301,2.013
2.174400000000014,302,2.012
2.181600000000014,303,2.01
2.1888000000000143,304,2.008
2.1960000000000144,305,2.006
2.2032000000000145,306,2.003
2.2104000000000146,307,2.001
2.2176000000000147,308,1.998
2.2248000000000148,309,1.994
2.232000000000015,310,1.99
2.239200000000015,311,1.986
2.246400000000015,312,1.981
2.253600000000015,313,1.976
2.2608000000000152,314,1.971
2.2680000000000153,315,1.965
2.2752000000000154,316,1.958
2.2824000000000155,317,1.952
2.2896000000000156,318,1.944
2.2968000000000157,319,1.937
2.304000000000016,320,1.929
2.311200000000016,321,1.92
2.318400000000016,322,1.911
2.325600000000016,323,1.902
2.332800000000016,324,1.892
2.3400000000000163,325,1.882
2.3472000000000164,326,1.871
2.3544000000000165,327,1.86
2.3616000000000166,328,1.848
2.3688000000000167,329,1.836
2.3760000000000168,330,1.824
2.383200000000017,331,1.81
2.390400000000017,332,1.797
2.397600000000017,333,1.783
2.404800000000017,334,1.769
2.4120000000000172,335,1.754
2.4192000000000173,336,1.739
2.4264000000000174,337,1.724
2.4336000000000175,338,1.708
2.4408000000000176,339,1.692
2.4480000000000177,340,1.675
2.455200000000018,341,1.658
2.462400000000018,342,1.641
2.469600000000018,343,1.623
2.476800000000018,344,1.605
2.484000000000018,345,1.586
2.4912000000000183,346,1.568
2.4984000000000184,347,1.549
2.5056000000000185,348,1.529
2.5128000000000186,349,1.51
2.5200000000000187,350,1.49
2.5272000000000188,351,1.47
2.534400000000019,352,1.449
2.541600000000019,353,1.429
2.548800000000019,354,1.408
2.556000000000019,355,1.387
2.5632000000000192,356,1.366
2.5704000000000193,357,1.344
2.5776000000000194,358,1.323
2.5848000000000195,359,1.301
2.5920000000000196,360,1.279
