Time (seconds),Time (steps),Acceleration (rad/s²)
0,0,-0.958
0.0072,1,-0.953
0.0144,2,-0.947
0.0216,3,-0.942
0.0288,4,-0.937
0.036,5,-0.931
0.043199999999999995,6,-0.926
0.05039999999999999,7,-0.921
0.05759999999999999,8,-0.916
0.0648,9,-0.91
0.072,10,-0.905
0.07919999999999999,11,-0.9
0.08639999999999999,12,-0.895
0.09359999999999999,13,-0.89
0.10079999999999999,14,-0.885
0.10799999999999998,15,-0.881
0.11519999999999998,16,-0.876
0.12239999999999998,17,-0.871
0.1296,18,-0.867
0.1368,19,-0.863
0.14400000000000002,20,-0.859
0.15120000000000003,21,-0.855
0.15840000000000004,22,-0.851
0.16560000000000005,23,-0.847
0.17280000000000006,24,-0.844
0.18000000000000008,25,-0.841
0.1872000000000001,26,-0.838
0.1944000000000001,27,-0.835
0.2016000000000001,28,-0.833
0.20880000000000012,29,-0.831
0.21600000000000014,30,-0.829
0.22320000000000015,31,-0.827
0.23040000000000016,32,-0.826
0.23760000000000017,33,-0.825
0.24480000000000018,34,-0.824
0.25200000000000017,35,-0.824
0.25920000000000015,36,-0.824
0.26640000000000014,37,-0.824
0.2736000000000001,38,-0.825
0.2808000000000001,39,-0.826
0.2880000000000001,40,-0.827
0.2952000000000001,41,-0.829
0.30240000000000006,42,-0.832
0.30960000000000004,43,-0.835
0.3168,44,-0.838
0.324,45,-0.841
0.3312,46,-0.846
0.3384,47,-0.851
0.34559999999999996,48,-0.856
0.35279999999999995,49,-0.862
0.35999999999999993,50,-0.868
0.3671999999999999,51,-0.875
0.3743999999999999,52,-0.883
0.3815999999999999,53,-0.891
0.38879999999999987,54,-0.901
0.39599999999999985,55,-0.91
0.40319999999999984,56,-0.921
0.4103999999999998,57,-0.932
0.4175999999999998,58,-0.944
0.4247999999999998,59,-0.957
0.4319999999999998,60,-0.971
0.43919999999999976,61,-0.986
0.44639999999999974,62,-1.002
0.4535999999999997,63,-1.019
0.4607999999999997,64,-1.037
0.4679999999999997,65,-1.056
0.4751999999999997,66,-1.076
0.48239999999999966,67,-1.098
0.48959999999999965,68,-1.12
0.49679999999999963,69,-1.144
0.5039999999999997,70,-1.17
0.5111999999999997,71,-1.197
0.5183999999999996,72,-1.226
0.5255999999999996,73,-1.256
0.5327999999999996,74,-1.288
0.5399999999999996,75,-1.322
