Time (seconds),Time (steps),Velocity (rad/s)
0,0,1.272
0.0072,1,1.281
0.0144,2,1.29
0.0216,3,1.298
0.0288,4,1.307
0.036,5,1.316
0.043199999999999995,6,1.324
0.05039999999999999,7,1.332
0.05759999999999999,8,1.34
0.0648,9,1.348
0.072,10,1.355
0.07919999999999999,11,1.363
0.08639999999999999,12,1.37
0.09359999999999999,13,1.377
0.10079999999999999,14,1.384
0.10799999999999998,15,1.391
0.11519999999999998,16,1.398
0.12239999999999998,17,1.404
0.1296,18,1.41
0.1368,19,1.417
0.14400000000000002,20,1.423
0.15120000000000003,21,1.428
0.15840000000000004,22,1.434
0.16560000000000005,23,1.439
0.17280000000000006,24,1.444
0.18000000000000008,25,1.449
0.1872000000000001,26,1.454
0.1944000000000001,27,1.459
0.2016000000000001,28,1.463
0.20880000000000012,29,1.468
0.21600000000000014,30,1.472
0.22320000000000015,31,1.475
0.23040000000000016,32,1.479
0.23760000000000017,33,1.483
0.24480000000000018,34,1.486
0.25200000000000017,35,1.489
0.25920000000000015,36,1.492
0.26640000000000014,37,1.495
0.2736000000000001,38,1.497
0.2808000000000001,39,1.499
0.2880000000000001,40,1.502
0.2952000000000001,41,1.504
0.30240000000000006,42,1.505
0.30960000000000004,43,1.507
0.3168,44,1.508
0.324,45,1.509
0.3312,46,1.51
0.3384,47,1.51
0.34559999999999996,48,1.511
0.35279999999999995,49,1.511
0.35999999999999993,50,1.511
0.3671999999999999,51,1.51
0.3743999999999999,52,1.51
0.3815999999999999,53,1.509
0.38879999999999987,54,1.507
0.39599999999999985,55,1.506
0.40319999999999984,56,1.505
0.4103999999999998,57,1.502
0.4175999999999998,58,1.5
0.4247999999999998,59,1.498
0.4319999999999998,60,1.495
0.43919999999999976,61,1.491
0.44639999999999974,62,1.488
0.4535999999999997,63,1.484
0.4607999999999997,64,1.48
0.4679999999999997,65,1.475
0.4751999999999997,66,1.47
0.48239999999999966,67,1.465
0.48959999999999965,68,1.46
0.49679999999999963,69,1.453
0.5039999999999997,70,1.447
0.5111999999999997,71,1.44
0.5183999999999996,72,1.433
0.5255999999999996,73,1.425
0.5327999999999996,74,1.416
0.5399999999999996,75,1.408
0.5471999999999996,76,1.399
0.5543999999999996,77,1.389
0.5615999999999995,78,1.378
0.5687999999999995,79,1.367
0.5759999999999995,80,1.355
0.5831999999999995,81,1.343
0.5903999999999995,82,1.33
0.5975999999999995,83,1.316
0.6047999999999994,84,1.302
0.6119999999999994,85,1.287
0.6191999999999994,86,1.271
0.6263999999999994,87,1.254
0.6335999999999994,88,1.236
0.6407999999999994,89,1.217
0.6479999999999994,90,1.197
0.6551999999999993,91,1.177
0.6623999999999993,92,1.155
0.6695999999999993,93,1.132
0.6767999999999993,94,1.108
0.6839999999999993,95,1.083
0.6911999999999993,96,1.056
0.6983999999999992,97,1.028
0.7055999999999992,98,0.999
0.7127999999999992,99,0.968
0.7199999999999992,100,0.936
0.7271999999999992,101,0.902
0.7343999999999992,102,0.866
0.7415999999999991,103,0.828
0.7487999999999991,104,0.788
0.7559999999999991,105,0.747
0.7631999999999991,106,0.702
0.7703999999999991,107,0.657
0.7775999999999991,108,0.608
0.784799999999999,109,0.558
0.791999999999999,110,0.504
0.799199999999999,111,0.448
0.806399999999999,112,0.39
0.813599999999999,113,0.328
0.820799999999999,114,0.264
0.827999999999999,115,0.196
0.8351999999999989,116,0.126
0.8423999999999989,117,0.052
0.8495999999999989,118,-0.025
0.8567999999999989,119,-0.105
0.8639999999999989,120,-0.189
0.8711999999999989,121,-0.276
0.8783999999999988,122,-0.367
0.8855999999999988,123,-0.46
0.8927999999999988,124,-0.557
0.8999999999999988,125,-0.656
0.9071999999999988,126,-0.759
0.9143999999999988,127,-0.864
0.9215999999999988,128,-0.973
0.9287999999999987,129,-1.082
0.9359999999999987,130,-1.194
0.9431999999999987,131,-1.308
0.9503999999999987,132,-1.423
0.9575999999999987,133,-1.538
0.9647999999999987,134,-1.652
0.9719999999999986,135,-1.767
0.9791999999999986,136,-1.88
0.9863999999999986,137,-1.992
0.9935999999999986,138,-2.101
1.0007999999999986,139,-2.207
1.0079999999999987,140,-2.31
1.0151999999999988,141,-2.409
1.0223999999999989,142,-2.503
1.029599999999999,143,-2.592
1.036799999999999,144,-2.675
1.0439999999999992,145,-2.752
1.0511999999999992,146,-2.823
1.0583999999999993,147,-2.887
1.0655999999999994,148,-2.943
1.0727999999999995,149,-2.994
1.0799999999999996,150,-3.037
1.0871999999999997,151,-3.072
1.0943999999999998,152,-3.102
1.1016,153,-3.125
1.1088,154,-3.14
1.116,155,-3.15
1.1232000000000002,156,-3.153
1.1304000000000003,157,-3.151
1.1376000000000004,158,-3.144
1.1448000000000005,159,-3.131
1.1520000000000006,160,-3.114
1.1592000000000007,161,-3.092
1.1664000000000008,162,-3.067
1.1736000000000009,163,-3.037
1.180800000000001,164,-3.004
1.188000000000001,165,-2.969
1.1952000000000012,166,-2.932
1.2024000000000012,167,-2.891
1.2096000000000013,168,-2.848
1.2168000000000014,169,-2.804
1.2240000000000015,170,-2.759
1.2312000000000016,171,-2.712
1.2384000000000017,172,-2.664
1.2456000000000018,173,-2.616
1.252800000000002,174,-2.567
1.260000000000002,175,-2.517
1.267200000000002,176,-2.468
1.2744000000000022,177,-2.418
1.2816000000000023,178,-2.368
1.2888000000000024,179,-2.318
1.2960000000000025,180,-2.268
1.3032000000000026,181,-2.219
1.3104000000000027,182,-2.169
1.3176000000000028,183,-2.121
1.3248000000000029,184,-2.073
1.332000000000003,185,-2.025
1.339200000000003,186,-1.979
1.3464000000000031,187,-1.932
1.3536000000000032,188,-1.887
1.3608000000000033,189,-1.843
1.3680000000000034,190,-1.799
1.3752000000000035,191,-1.755
1.3824000000000036,192,-1.713
1.3896000000000037,193,-1.671
1.3968000000000038,194,-1.63
1.404000000000004,195,-1.59
1.411200000000004,196,-1.551
1.418400000000004,197,-1.512
1.4256000000000042,198,-1.474
1.4328000000000043,199,-1.437
1.4400000000000044,200,-1.401
1.4472000000000045,201,-1.365
1.4544000000000046,202,-1.33
1.4616000000000047,203,-1.296
1.4688000000000048,204,-1.263
1.4760000000000049,205,-1.23
1.483200000000005,206,-1.198
1.490400000000005,207,-1.166
1.4976000000000051,208,-1.135
1.5048000000000052,209,-1.105
1.5120000000000053,210,-1.076
1.5192000000000054,211,-1.047
1.5264000000000055,212,-1.018
1.5336000000000056,213,-0.99
1.5408000000000057,214,-0.963
1.5480000000000058,215,-0.937
1.555200000000006,216,-0.911
1.562400000000006,217,-0.885
1.569600000000006,218,-0.859
1.5768000000000062,219,-0.835
1.5840000000000063,220,-0.81
1.5912000000000064,221,-0.787
1.5984000000000065,222,-0.763
1.6056000000000066,223,-0.74
1.6128000000000067,224,-0.718
1.6200000000000068,225,-0.695
1.6272000000000069,226,-0.674
1.634400000000007,227,-0.652
1.641600000000007,228,-0.631
1.6488000000000071,229,-0.61
1.6560000000000072,230,-0.589
1.6632000000000073,231,-0.569
1.6704000000000074,232,-0.549
1.6776000000000075,233,-0.53
1.6848000000000076,234,-0.51
1.6920000000000077,235,-0.491
1.6992000000000078,236,-0.472
1.706400000000008,237,-0.454
1.713600000000008,238,-0.435
1.720800000000008,239,-0.418
1.7280000000000082,240,-0.4
1.7352000000000083,241,-0.382
1.7424000000000084,242,-0.364
1.7496000000000085,243,-0.347
1.7568000000000086,244,-0.33
1.7640000000000087,245,-0.313
1.7712000000000088,246,-0.296
1.7784000000000089,247,-0.28
1.785600000000009,248,-0.263
1.792800000000009,249,-0.247
1.8000000000000091,250,-0.231
1.8072000000000092,251,-0.215
1.8144000000000093,252,-0.199
1.8216000000000094,253,-0.183
1.8288000000000095,254,-0.167
1.8360000000000096,255,-0.152
1.8432000000000097,256,-0.136
1.8504000000000098,257,-0.121
1.85760000000001,258,-0.105
1.86480000000001,259,-0.09
1.87200000000001,260,-0.075
1.8792000000000102,261,-0.06
1.8864000000000103,262,-0.045
1.8936000000000104,263,-0.03
1.9008000000000105,264,-0.015
1.9080000000000106,265,0
1.9152000000000107,266,0.015
1.9224000000000108,267,0.03
1.9296000000000109,268,0.044
1.936800000000011,269,0.059
1.944000000000011,270,0.074
1.9512000000000111,271,0.089
1.9584000000000112,272,0.103
