Time (seconds),Time (steps),Velocity (rad/s)
0,0,2.424
0.0072,1,2.424
0.0144,2,2.424
0.0216,3,2.424
0.0288,4,2.424
0.036,5,2.424
0.043199999999999995,6,2.424
0.05039999999999999,7,2.424
0.05759999999999999,8,2.424
0.0648,9,2.424
0.072,10,2.424
0.07919999999999999,11,2.424
0.08639999999999999,12,2.424
0.09359999999999999,13,2.424
0.10079999999999999,14,2.424
0.10799999999999998,15,2.424
0.11519999999999998,16,2.424
0.12239999999999998,17,2.424
0.1296,18,2.424
0.1368,19,2.424
0.14400000000000002,20,2.424
0.15120000000000003,21,2.424
0.15840000000000004,22,2.424
0.16560000000000005,23,2.424
0.17280000000000006,24,2.424
0.18000000000000008,25,2.424
0.1872000000000001,26,2.424
0.1944000000000001,27,2.424
0.2016000000000001,28,2.424
0.20880000000000012,29,2.424
0.21600000000000014,30,2.424
0.22320000000000015,31,2.424
0.23040000000000016,32,2.424
0.23760000000000017,33,2.424
0.24480000000000018,34,2.424
0.25200000000000017,35,2.424
0.25920000000000015,36,2.424
0.26640000000000014,37,2.424
0.2736000000000001,38,2.424
0.2808000000000001,39,2.424
0.2880000000000001,40,2.424
0.2952000000000001,41,2.424
0.30240000000000006,42,2.424
0.30960000000000004,43,2.424
0.3168,44,2.424
0.324,45,2.424
0.3312,46,2.424
0.3384,47,2.424
0.34559999999999996,48,2.424
0.35279999999999995,49,2.424
0.35999999999999993,50,2.424
0.3671999999999999,51,2.424
0.3743999999999999,52,2.424
0.3815999999999999,53,2.424
0.38879999999999987,54,2.424
0.39599999999999985,55,2.424
0.40319999999999984,56,2.424
0.4103999999999998,57,2.424
0.4175999999999998,58,2.424
0.4247999999999998,59,2.424
0.4319999999999998,60,2.424
0.43919999999999976,61,2.424
0.44639999999999974,62,2.424
0.4535999999999997,63,2.424
0.4607999999999997,64,2.424
0.4679999999999997,65,2.424
0.4751999999999997,66,2.424
0.48239999999999966,67,2.424
0.48959999999999965,68,2.424
0.49679999999999963,69,2.424
0.5039999999999997,70,2.424
0.5111999999999997,71,2.424
0.5183999999999996,72,2.424
0.5255999999999996,73,2.424
0.5327999999999996,74,2.424
0.5399999999999996,75,2.424
0.5471999999999996,76,2.424
0.5543999999999996,77,2.424
0.5615999999999995,78,2.424
0.5687999999999995,79,2.424
0.5759999999999995,80,2.424
0.5831999999999995,81,2.424
0.5903999999999995,82,2.424
0.5975999999999995,83,2.424
0.6047999999999994,84,2.424
0.6119999999999994,85,2.424
0.6191999999999994,86,2.424
0.6263999999999994,87,2.424
0.6335999999999994,88,2.424
0.6407999999999994,89,2.424
0.6479999999999994,90,2.424
0.6551999999999993,91,2.424
0.6623999999999993,92,2.424
0.6695999999999993,93,2.424
0.6767999999999993,94,2.424
0.6839999999999993,95,2.424
0.6911999999999993,96,2.424
0.6983999999999992,97,2.424
0.7055999999999992,98,2.424
0.7127999999999992,99,2.424
0.7199999999999992,100,2.424
0.7271999999999992,101,2.424
0.7343999999999992,102,2.424
0.7415999999999991,103,2.424
0.7487999999999991,104,2.424
0.7559999999999991,105,2.424
0.7631999999999991,106,2.424
0.7703999999999991,107,2.424
0.7775999999999991,108,2.424
0.784799999999999,109,2.424
0.791999999999999,110,2.424
0.799199999999999,111,2.424
0.806399999999999,112,2.424
0.813599999999999,113,2.424
0.820799999999999,114,2.424
0.827999999999999,115,2.424
0.8351999999999989,116,2.424
0.8423999999999989,117,2.424
0.8495999999999989,118,2.424
0.8567999999999989,119,2.424
0.8639999999999989,120,2.424
0.8711999999999989,121,2.424
0.8783999999999988,122,2.424
0.8855999999999988,123,2.424
0.8927999999999988,124,2.424
0.8999999999999988,125,2.424
0.9071999999999988,126,2.424
0.9143999999999988,127,2.424
0.9215999999999988,128,2.424
0.9287999999999987,129,2.424
0.9359999999999987,130,2.424
0.9431999999999987,131,2.424
0.9503999999999987,132,2.424
0.9575999999999987,133,2.424
0.9647999999999987,134,2.424
0.9719999999999986,135,2.424
0.9791999999999986,136,2.424
0.9863999999999986,137,2.424
0.9935999999999986,138,2.424
1.0007999999999986,139,2.424
1.0079999999999987,140,2.424
1.0151999999999988,141,2.424
1.0223999999999989,142,2.424
1.029599999999999,143,2.424
1.036799999999999,144,2.424
1.0439999999999992,145,2.424
1.0511999999999992,146,2.424
1.0583999999999993,147,2.424
1.0655999999999994,148,2.424
1.0727999999999995,149,2.424
1.0799999999999996,150,2.424
1.0871999999999997,151,2.424
1.0943999999999998,152,2.424
1.1016,153,2.424
1.1088,154,2.424
1.116,155,2.424
1.1232000000000002,156,2.424
1.1304000000000003,157,2.424
1.1376000000000004,158,2.424
1.1448000000000005,159,2.424
1.1520000000000006,160,2.424
1.1592000000000007,161,2.424
1.1664000000000008,162,2.424
1.1736000000000009,163,2.424
1.180800000000001,164,2.424
1.188000000000001,165,2.424
1.1952000000000012,166,2.424
1.2024000000000012,167,2.424
1.2096000000000013,168,2.424
1.2168000000000014,169,2.424
1.2240000000000015,170,2.424
1.2312000000000016,171,2.424
1.2384000000000017,172,2.424
1.2456000000000018,173,2.424
1.252800000000002,174,2.424
1.260000000000002,175,2.424
1.267200000000002,176,2.424
1.2744000000000022,177,2.424
1.2816000000000023,178,2.424
1.2888000000000024,179,2.424
1.2960000000000025,180,2.424
1.3032000000000026,181,2.424
1.3104000000000027,182,2.424
1.3176000000000028,183,2.424
1.3248000000000029,184,2.424
1.332000000000003,185,2.424
1.339200000000003,186,2.424
1.3464000000000031,187,2.424
1.3536000000000032,188,2.424
1.3608000000000033,189,2.424
1.3680000000000034,190,2.424
1.3752000000000035,191,2.424
1.3824000000000036,192,2.424
1.3896000000000037,193,2.424
1.3968000000000038,194,2.424
1.404000000000004,195,2.424
1.411200000000004,196,2.424
1.418400000000004,197,2.424
1.4256000000000042,198,2.424
1.4328000000000043,199,2.424
1.4400000000000044,200,2.424
1.4472000000000045,201,2.424
1.4544000000000046,202,2.424
1.4616000000000047,203,2.424
1.4688000000000048,204,2.424
1.4760000000000049,205,2.424
1.483200000000005,206,2.424
1.490400000000005,207,2.424
1.4976000000000051,208,2.424
1.5048000000000052,209,2.424
1.5120000000000053,210,2.424
1.5192000000000054,211,2.424
1.5264000000000055,212,2.424
1.5336000000000056,213,2.424
1.5408000000000057,214,2.424
1.5480000000000058,215,2.424
1.555200000000006,216,2.424
1.562400000000006,217,2.424
1.569600000000006,218,2.424
1.5768000000000062,219,2.424
1.5840000000000063,220,2.424
1.5912000000000064,221,2.424
1.5984000000000065,222,2.424
1.6056000000000066,223,2.424
1.6128000000000067,224,2.424
1.6200000000000068,225,2.424
1.6272000000000069,226,2.424
1.634400000000007,227,2.424
1.641600000000007,228,2.424
1.6488000000000071,229,2.424
1.6560000000000072,230,2.424
1.6632000000000073,231,2.424
1.6704000000000074,232,2.424
1.6776000000000075,233,2.424
1.6848000000000076,234,2.424
1.6920000000000077,235,2.424
1.6992000000000078,236,2.424
1.706400000000008,237,2.424
1.713600000000008,238,2.424
1.720800000000008,239,2.424
1.7280000000000082,240,2.424
1.7352000000000083,241,2.424
1.7424000000000084,242,2.424
1.7496000000000085,243,2.424
1.7568000000000086,244,2.424
1.7640000000000087,245,2.424
1.7712000000000088,246,2.424
1.7784000000000089,247,2.424
1.785600000000009,248,2.424
1.792800000000009,249,2.424
1.8000000000000091,250,2.424
1.8072000000000092,251,2.424
1.8144000000000093,252,2.424
1.8216000000000094,253,2.424
1.8288000000000095,254,2.424
1.8360000000000096,255,2.424
1.8432000000000097,256,2.424
1.8504000000000098,257,2.424
1.85760000000001,258,2.424
1.86480000000001,259,2.424
1.87200000000001,260,2.424
1.8792000000000102,261,2.424
1.8864000000000103,262,2.424
1.8936000000000104,263,2.424
1.9008000000000105,264,2.424
1.9080000000000106,265,2.424
1.9152000000000107,266,2.424
1.9224000000000108,267,2.424
1.9296000000000109,268,2.424
1.936800000000011,269,2.424
1.944000000000011,270,2.424
1.9512000000000111,271,2.424
1.9584000000000112,272,2.424
1.9656000000000113,273,2.424
1.9728000000000114,274,2.424
1.9800000000000115,275,2.424
1.9872000000000116,276,2.424
1.9944000000000117,277,2.424
2.001600000000012,278,2.424
2.008800000000012,279,2.424
2.016000000000012,280,2.424
2.023200000000012,281,2.424
2.030400000000012,282,2.424
2.0376000000000123,283,2.424
2.0448000000000124,284,2.424
2.0520000000000125,285,2.424
2.0592000000000126,286,2.424
2.0664000000000127,287,2.424
2.0736000000000128,288,2.424
2.080800000000013,289,2.424
2.088000000000013,290,2.424
2.095200000000013,291,2.424
2.102400000000013,292,2.424
2.1096000000000132,293,2.424
2.1168000000000133,294,2.424
2.1240000000000134,295,2.424
2.1312000000000135,296,2.424
2.1384000000000136,297,2.424
2.1456000000000137,298,2.424
2.152800000000014,299,2.424
2.160000000000014,300,2.424
2.167200000000014,301,2.424
2.174400000000014,302,2.424
2.181600000000014,303,2.424
2.1888000000000143,304,2.424
2.1960000000000144,305,2.424
