Time (seconds),Time (steps),Torque (N·m)
0,0,-504.264
0.0072,1,-505.534
0.0144,2,-525.935
0.0216,3,-548.502
0.0288,4,-573.186
0.036,5,-602.162
0.043199999999999995,6,-611.804
0.05039999999999999,7,-640.276
0.05759999999999999,8,-654.382
0.0648,9,-685.128
0.072,10,-699.863
0.07919999999999999,11,-732.075
0.08639999999999999,12,-745.903
0.09359999999999999,13,-782.517
0.10079999999999999,14,-792.247
0.10799999999999998,15,-825.071
0.11519999999999998,16,-852.806
0.12239999999999998,17,-863.432
0.1296,18,-891.863
0.1368,19,-923.254
0.14400000000000002,20,-947
0.15120000000000003,21,-970.649
0.15840000000000004,22,-994.421
0.16560000000000005,23,-1013.306
0.17280000000000006,24,-1032.064
0.18000000000000008,25,-1065.481
0.1872000000000001,26,-1075.372
0.1944000000000001,27,-1104.918
0.2016000000000001,28,-1128.603
0.20880000000000012,29,-1157.147
0.21600000000000014,30,-1182.73
0.22320000000000015,31,-1194.487
0.23040000000000016,32,-1229.096
0.23760000000000017,33,-1243.534
0.24480000000000018,34,-1274.61
0.25200000000000017,35,-1286.127
0.25920000000000015,36,-1313.063
0.26640000000000014,37,-1330.325
0.2736000000000001,38,-1350.536
0.2808000000000001,39,-1372.216
0.2880000000000001,40,-1406.067
0.2952000000000001,41,-1413.468
0.30240000000000006,42,-1444.273
0.30960000000000004,43,-1456.275
0.3168,44,-1487.965
0.324,45,-1503.382
0.3312,46,-1516.655
0.3384,47,-1539.074
0.34559999999999996,48,-1557.01
0.35279999999999995,49,-1578.528
0.35999999999999993,50,-1599.623
0.3671999999999999,51,-1606.689
0.3743999999999999,52,-1627.235
0.3815999999999999,53,-1643.054
0.38879999999999987,54,-1657.086
0.39599999999999985,55,-1670.897
0.40319999999999984,56,-1686.531
0.4103999999999998,57,-1701.124
0.4175999999999998,58,-1711.633
0.4247999999999998,59,-1724.455
0.4319999999999998,60,-1739.448
0.43919999999999976,61,-1747.553
0.44639999999999974,62,-1760.251
0.4535999999999997,63,-1767.254
0.4607999999999997,64,-1774.817
0.4679999999999997,65,-1784.071
0.4751999999999997,66,-1795.67
0.48239999999999966,67,-1797.719
0.48959999999999965,68,-1806.1
0.49679999999999963,69,-1816.786
0.5039999999999997,70,-1818.518
0.5111999999999997,71,-1815.042
0.5183999999999996,72,-1825.589
0.5255999999999996,73,-1826.356
0.5327999999999996,74,-1822.276
0.5399999999999996,75,-1821.906
0.5471999999999996,76,-1823.406
0.5543999999999996,77,-1816.341
0.5615999999999995,78,-1811.789
0.5687999999999995,79,-1809.671
0.5759999999999995,80,-1799.902
0.5831999999999995,81,-1788.874
0.5903999999999995,82,-1783.946
0.5975999999999995,83,-1772.514
0.6047999999999994,84,-1759.519
0.6119999999999994,85,-1749.222
0.6191999999999994,86,-1729.951
0.6263999999999994,87,-1716.538
0.6335999999999994,88,-1695.413
0.6407999999999994,89,-1679.784
0.6479999999999994,90,-1655.775
0.6551999999999993,91,-1634.433
0.6623999999999993,92,-1607.662
0.6695999999999993,93,-1581.97
0.6767999999999993,94,-1553.494
0.6839999999999993,95,-1522.138
0.6911999999999993,96,-1490.618
0.6983999999999992,97,-1454.617
0.7055999999999992,98,-1420.023
