Time,RPM,SoundLevel_dB,Status
NaN,NaN,NaN,Logging started by user manual toggle
121475,75,54,
121675,67,52.2,
121875,67,52,
122075,60,52.2,
122275,60,52.2,
122475,60,53.5,
122675,56,61.8,
122875,56,57.1,
123075,48,60.8,
123275,48,53.5,
123475,45,52.7,
123675,45,52.5,
123875,37,53.5,
124075,41,51.8,
124275,33,51.8,
124475,33,52.5,
124675,30,67.1,
124875,26,63,
125075,26,60.3,
125275,26,63.5,
125475,22,59.8,
125675,18,57.4,
125875,18,54.7,
126075,11,57.1,
126275,11,59.6,
126475,11,76.7,
126675,11,80.6,
126875,3,71,
127075,3,66.4,
127275,7,69.1,
127475,0,58.6,
127675,0,55.4,
127875,0,57.6,
128075,0,54.4,
128275,0,51,
128475,0,52,
128675,0,55.4,
128875,0,73,
129075,0,66.2,
129275,0,54,
129475,0,72.5,
129675,0,54,
129875,0,54,
130075,0,65.2,
130275,0,59.8,
130475,0,68.6,
130675,0,64.9,
130875,0,60.1,
131075,0,54.2,
131275,0,52.5,
131475,0,57.1,
131675,0,62.5,
131875,0,53.2,
132075,0,52,
132275,0,51.5,
132475,0,51.8,
132675,0,50.8,
132875,0,51.8,
133075,0,50.5,
133275,0,51.8,
NaN,NaN,NaN,Logging stopped by user manual toggle
